base_slug,variant_slugs,name,types,sets,legal_heroes,legal_formats,keywords,implemented_by_registry,implemented_by_manual_trigger,has_functional_text,parseable_by_text_parser,in_generated_decks,priority_tier,priority_score,implementation_bucket
back_stab,back_stab_blue|back_stab_red|back_stab_yellow,Back Stab,Action,ArakniWebOfDeceitBlitzDeck|Outsiders|TheHunted,Arakni|Crackni|Nuu|Slippy|Uzuri,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Stealth,False,False,True,False,True,P0,130,manual_or_keyword_gap
malign,malign_blue|malign_red|malign_yellow,Malign,Action,ArakniBlitzDeck|Outsiders,Arakni|Crackni|Nuu|Slippy|Uzuri,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Stealth,False,False,True,False,True,P0,130,manual_or_keyword_gap
red_in_the_ledger,red_in_the_ledger_red,Red in the Ledger,Action,ArcaneRising|ArmoryDeckAzalea|HistoryPack1,Azalea|Shiyana,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,Specialization,False,False,True,False,True,P0,130,manual_or_keyword_gap
scar_for_a_scar,scar_for_a_scar_blue|scar_for_a_scar_red|scar_for_a_scar_yellow,Scar for a Scar,Action,ArmoryDeckGravyBones|ArmoryDeckIra|DorintheaSilverAgeDeck|FaiSilverAgeDeck|HighSeas|HistoryPack1|IraWelcomeDeck|KatsuBlitzDeck|KatsuHeroDeck|Promos|Uprising|WelcomeToRathe,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,False,True,P0,130,manual_or_keyword_gap
aether_slash,aether_slash_blue|aether_slash_red|aether_slash_yellow,Aether Slash,Action,Dynasty,Aurora|Aurora2|Briar|Chane|Florian|Viserai|Vynnset,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
affirm_loyalty,affirm_loyalty_red,Affirm Loyalty,AttackReaction,FangBlitzDeck|GEM|TheHunted,Emperor|Fang,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
aftershock,aftershock_blue|aftershock_red|aftershock_yellow,Aftershock,Action,MasteryPackGuardian,Betsy|Bolfar|Bravo|Brevant|Crix|Jarl|Kox|Lyath|Oldhim|Pleiades|Reya|Starvo|Terra|Valda|Victor|Yoji,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
agile_windup,agile_windup_blue|agile_windup_red|agile_windup_yellow,Agile Windup,Action,HeavyHitters|KayoBlitzDeck|RhinarBlitzDeck,Boltyn|Dorinthea|Emperor|Fang|Hala|Kassai|Kayo|Levia|Olympia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
anaphylactic_shock,anaphylactic_shock_blue,Anaphylactic Shock,Instant,TheHunted,Arakni|Crackni|Nuu|Slippy|Uzuri,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
ancestral_empowerment,ancestral_empowerment_red,Ancestral Empowerment,AttackReaction,HistoryPack1|WelcomeToRathe,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
angry_bones,angry_bones_blue|angry_bones_red|angry_bones_yellow,Angry Bones,Action,HighSeas,GravyBones,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
arakni_tarantula,arakni_tarantula,"Arakni, Tarantula",DemiHero,ArakniSilverAgeDeck|ArakniWebOfDeceitBlitzDeck|Promos|TheHunted,Arakni|Crackni|Slippy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
arcane_polarity,arcane_polarity_blue|arcane_polarity_red|arcane_polarity_yellow,Arcane Polarity,Instant,FaiSilverAgeDeck|Rosetta,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
arcanic_crackle,arcanic_crackle_blue|arcanic_crackle_red|arcanic_crackle_yellow,Arcanic Crackle,Action,ArmoryDeckAurora|Monarch,Aurora|Aurora2|Briar|Chane|Florian|Viserai|Vynnset,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
arcanic_spike,arcanic_spike_blue|arcanic_spike_red|arcanic_spike_yellow,Arcanic Spike,Action,Rosetta,Aurora|Aurora2|Briar|Chane|Florian|Viserai|Vynnset,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
arctic_incarceration,arctic_incarceration_blue|arctic_incarceration_red|arctic_incarceration_yellow,Arctic Incarceration,Action,Uprising,Iyslander|Jarl|Lexi|Oldhim|Starvo,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
art_of_the_dragon_fire,art_of_the_dragon_fire_red,Art of the Dragon: Fire,Action,CindraBlitzDeck|FaiSilverAgeDeck|Promos|TheHunted,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
art_of_the_phoenix_war,art_of_the_phoenix_war_red,Art of the Phoenix: War,Instant,CompendiumOfRathe,Cindra|Dromai|Emperor|Fai|Fang|Taipanis,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
art_of_war,art_of_war_yellow,Art of War,Instant,ArcaneRising|HistoryPack1|Promos,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
asking_for_trouble,asking_for_trouble_yellow,Asking for Trouble,Block,SuperSlam,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
astravolt_elemental,astravolt_elemental_red,Astravolt Elemental,Action,CompendiumOfRathe,Aurora|Aurora2|Briar|Broscilio|Lexi|Oscilio|Starvo|Zyggy,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
aurora_emissary_of_lightning,aurora_emissary_of_lightning,"Aurora, Emissary of Lightning",Hero,OmensOfTheThirdAge,Aurora2,Blitz|Clash|Draft|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
azvolai,azvolai,Azvolai,,Uprising,Dromai,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
ball_breaker,ball_breaker,Ball Breaker,Weapon,HeavyHitters|Promos|RhinarBlitzDeck,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
barbed_barrage,barbed_barrage_red,Barbed Barrage,Action,HighSeas,Azalea|Lexi|Marlynn|Riptide,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
bare_fangs,bare_fangs_blue|bare_fangs_red|bare_fangs_yellow,Bare Fangs,Action,ArmoryDeckKayo|ClassicBattlesRhinarDorinthea|Everfest|HeavyHitters|KayoBlitzDeck|KayoSilverAgeDeck|RhinarBlitzDeck,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
barraging_brawnhide,barraging_brawnhide_blue|barraging_brawnhide_red|barraging_brawnhide_yellow,Barraging Brawnhide,Action,WelcomeToRathe,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
bash_brute,bash_brute_red,Bash Brute,Action,SuperSlam,Betsy|Bolfar|Bravo|Brevant|Crix|Jarl|Kox|Lyath|Oldhim|Pleiades|Reya|Starvo|Terra|Valda|Victor|Yoji,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
bash_guardian,bash_guardian_red,Bash Guardian,Action,SuperSlam,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
battered_not_broken,battered_not_broken_red,Battered Not Broken,Instant,HeavyHitters|Promos,Betsy|Bolfar|Bravo|Brevant|Crix|Jarl|Kayo|Kox|Levia|Lyath|Oldhim|Pleiades|RKO|Reya|Rhinar|Starvo|Terra|Tuffnut|Valda|Victor|Yoji,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
battlefront_bastion,battlefront_bastion_blue|battlefront_bastion_red|battlefront_bastion_yellow,Battlefront Bastion,Action,EnigmaBlitzDeck|PartTheMistveil|Promos,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
big_shot,big_shot_red,Big Shot,Action,BrightLights,Dash|DataDoll|Maxx|Puffin|Teklovossen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blade_flurry,blade_flurry_red,Blade Flurry,AttackReaction,HeavyHitters,Boltyn|Dorinthea|Emperor|Fang|Hala|Kassai|Olympia,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blessing_of_occult,blessing_of_occult_blue|blessing_of_occult_red|blessing_of_occult_yellow,Blessing of Occult,Action,Dynasty,Aurora|Aurora2|Briar|Chane|Florian|Viserai|Vynnset,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blessing_of_salvation,blessing_of_salvation_blue|blessing_of_salvation_red|blessing_of_salvation_yellow,Blessing of Salvation,Action,DuskTillDawn,Boltyn|Librarian|Prism|Theryon,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blessing_of_steel,blessing_of_steel_blue|blessing_of_steel_red|blessing_of_steel_yellow,Blessing of Steel,Action,Dynasty,Boltyn|Dorinthea|Emperor|Fang|Hala|Kassai|Olympia,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blessing_of_vynserakai,blessing_of_vynserakai_red,Blessing of Vynserakai,Action,TheHunted,Cindra|Dromai|Emperor|Fai|Fang|Taipanis,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blink,blink_blue,Blink,Instant,TalesOfAria,Aurora|Aurora2|Briar|Broscilio|Lexi|Oscilio|Starvo|Zyggy,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blood_in_the_water,blood_in_the_water_red,Blood in the Water,DefenseReaction,HighSeas,GravyBones,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blood_runs_deep,blood_runs_deep_red,Blood Runs Deep,Action,Promos|TheHunted,Cindra|Fai,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
bloodrot_trap,bloodrot_trap_red,Bloodrot Trap,DefenseReaction,ArakniBlitzDeck|Outsiders|RiptideBlitzDeck,Arakni|Azalea|Crackni|Lexi|Marlynn|Nuu|Riptide|Slippy|Uzuri,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
blunten,blunten_yellow,Blunten,Block,CompendiumOfRathe,Boltyn|Dorinthea|Fang|Hala|Kassai|Olympia,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
brainstorm,brainstorm_blue,Brainstorm,Instant,Dynasty,Blaze|Broscilio|Iyslander|Kano|Oscilio|Verdance,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
break_ground,break_ground_blue|break_ground_red|break_ground_yellow,Break Ground,Action,TalesOfAria,Briar|Florian|Jarl|Oldhim|Starvo|Terra|Verdance,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
brothers_in_arms,brothers_in_arms_blue|brothers_in_arms_red|brothers_in_arms_yellow,Brothers in Arms,Action,SuperSlam|Uprising,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
brothers_of_flame,brothers_of_flame_red,Brothers of Flame,AttackReaction,TheHunted,Emperor|Fang,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
burn_bare,burn_bare,Burn Bare,Action,HighSeas,Blaze|Broscilio|Iyslander|Kano|Oscilio|Verdance,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
burn_rubber,burn_rubber_red,Burn Rubber,Action,BrightLights,Dash|DataDoll|Maxx|Puffin|Teklovossen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
canopy_shelter,canopy_shelter_blue,Canopy Shelter,Block,FirstStrikeTerra,Briar|Florian|Jarl|Oldhim|Starvo|Terra|Verdance,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
cap_of_quick_thinking,cap_of_quick_thinking,Cap of Quick Thinking,Equipment,ArmoryDeckAurora,Aurora|Aurora2|Briar|Broscilio|Lexi|Oscilio|Starvo|Taylor|Zyggy,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
